nohup: ignoring input
Enviado: temp=25.0, hum=93.3, energy=246.80
Enviado: temp=23.6, hum=49.6, energy=280.93
Enviado: temp=24.0, hum=59.2, energy=227.25
Enviado: temp=18.7, hum=66.5, energy=215.70
Enviado: temp=18.4, hum=74.7, energy=112.52
Enviado: temp=16.1, hum=70.4, energy=229.74
Enviado: temp=18.1, hum=70.4, energy=183.44
Enviado: temp=18.3, hum=93.7, energy=131.37
Enviado: temp=16.3, hum=68.0, energy=245.83
Enviado: temp=19.6, hum=96.0, energy=111.19
Enviado: temp=21.9, hum=68.1, energy=187.55
Enviado: temp=19.3, hum=56.9, energy=120.42
Enviado: temp=17.2, hum=92.4, energy=234.12
Enviado: temp=16.9, hum=70.5, energy=264.37
Enviado: temp=19.5, hum=79.9, energy=254.55
Enviado: temp=17.5, hum=56.7, energy=228.87
Enviado: temp=17.2, hum=71.0, energy=204.89
Enviado: temp=24.2, hum=97.7, energy=247.06
Enviado: temp=15.4, hum=83.4, energy=115.20
Enviado: temp=21.7, hum=67.1, energy=121.75
Enviado: temp=20.4, hum=50.7, energy=169.68
Enviado: temp=16.4, hum=49.6, energy=216.69
Enviado: temp=19.8, hum=57.7, energy=142.98
Enviado: temp=19.6, hum=83.7, energy=233.91
Enviado: temp=18.6, hum=55.5, energy=204.52
Enviado: temp=19.7, hum=65.2, energy=204.10
Enviado: temp=20.0, hum=82.6, energy=281.06
Enviado: temp=24.8, hum=96.4, energy=262.18
Enviado: temp=22.2, hum=84.6, energy=118.57
Enviado: temp=23.0, hum=74.3, energy=157.32
Enviado: temp=20.8, hum=61.5, energy=246.45
Enviado: temp=21.0, hum=90.3, energy=294.85
Enviado: temp=18.2, hum=95.4, energy=275.49
Enviado: temp=16.2, hum=78.6, energy=283.17
Enviado: temp=15.4, hum=42.0, energy=225.12
Enviado: temp=21.8, hum=81.7, energy=165.83
Enviado: temp=18.8, hum=99.8, energy=103.95
Enviado: temp=18.1, hum=83.5, energy=199.61
Enviado: temp=18.7, hum=75.3, energy=247.97
Enviado: temp=22.3, hum=61.6, energy=176.74
Enviado: temp=19.2, hum=79.7, energy=151.77
Enviado: temp=24.1, hum=93.7, energy=119.11
Enviado: temp=15.7, hum=79.7, energy=180.52
Enviado: temp=22.9, hum=66.9, energy=210.75
Enviado: temp=21.2, hum=81.0, energy=298.24
Enviado: temp=17.4, hum=84.8, energy=223.95
Enviado: temp=16.3, hum=48.5, energy=225.54
Enviado: temp=20.6, hum=53.6, energy=132.27
Enviado: temp=18.6, hum=99.9, energy=202.98
Enviado: temp=16.6, hum=84.6, energy=152.92
Enviado: temp=23.4, hum=61.8, energy=152.83
Enviado: temp=17.0, hum=98.4, energy=168.82
Enviado: temp=21.7, hum=63.0, energy=147.02
Enviado: temp=15.9, hum=92.0, energy=172.04
Enviado: temp=24.2, hum=69.9, energy=119.12
Enviado: temp=16.4, hum=41.9, energy=161.46
Enviado: temp=17.0, hum=44.4, energy=116.25
Enviado: temp=17.6, hum=77.0, energy=155.16
Enviado: temp=21.3, hum=86.0, energy=194.56
Enviado: temp=17.9, hum=60.1, energy=229.44
Enviado: temp=16.6, hum=48.1, energy=137.60
Enviado: temp=20.3, hum=52.5, energy=144.54
Enviado: temp=18.5, hum=63.6, energy=101.47
Enviado: temp=18.8, hum=65.3, energy=286.47
Enviado: temp=17.3, hum=43.4, energy=128.47
Enviado: temp=18.4, hum=81.2, energy=102.78
Enviado: temp=22.5, hum=43.6, energy=102.34
Enviado: temp=17.8, hum=69.2, energy=272.15
Enviado: temp=22.1, hum=73.7, energy=157.04
Enviado: temp=16.0, hum=50.9, energy=168.40
Enviado: temp=15.2, hum=76.6, energy=158.97
Enviado: temp=22.4, hum=48.2, energy=296.75
Enviado: temp=20.8, hum=76.9, energy=204.98
Enviado: temp=24.6, hum=90.9, energy=219.02
Enviado: temp=20.1, hum=66.9, energy=292.61
Enviado: temp=23.2, hum=72.4, energy=184.96
Enviado: temp=23.4, hum=78.2, energy=249.75
Enviado: temp=23.5, hum=66.9, energy=111.62
Enviado: temp=17.3, hum=53.5, energy=178.71
Enviado: temp=17.1, hum=41.0, energy=158.88
Enviado: temp=18.1, hum=58.7, energy=111.07
Enviado: temp=17.7, hum=69.6, energy=102.55
Enviado: temp=15.4, hum=97.3, energy=172.84
Enviado: temp=20.2, hum=74.7, energy=166.57
Enviado: temp=24.1, hum=82.7, energy=228.93
Enviado: temp=21.4, hum=44.6, energy=169.75
Enviado: temp=19.1, hum=95.2, energy=132.94
Enviado: temp=22.8, hum=75.7, energy=127.29
Enviado: temp=15.7, hum=91.5, energy=293.74
Enviado: temp=24.0, hum=77.2, energy=103.56
Enviado: temp=21.5, hum=44.8, energy=297.26
Enviado: temp=23.3, hum=79.8, energy=196.74
Enviado: temp=16.0, hum=86.7, energy=162.06
Enviado: temp=15.1, hum=44.1, energy=141.33
Enviado: temp=22.3, hum=66.2, energy=238.09
Enviado: temp=19.1, hum=81.7, energy=175.46
Enviado: temp=19.5, hum=84.8, energy=197.21
Enviado: temp=23.8, hum=89.7, energy=234.05
Enviado: temp=18.8, hum=53.9, energy=247.56
Enviado: temp=16.3, hum=64.8, energy=146.05
Enviado: temp=15.9, hum=41.2, energy=149.73
Enviado: temp=15.7, hum=82.3, energy=250.48
Enviado: temp=20.0, hum=48.2, energy=157.87
Enviado: temp=15.3, hum=76.3, energy=187.15
Enviado: temp=16.0, hum=43.3, energy=259.03
Enviado: temp=16.6, hum=59.3, energy=174.49
Enviado: temp=16.5, hum=46.9, energy=186.09
Enviado: temp=21.7, hum=71.5, energy=195.35
Enviado: temp=18.0, hum=93.6, energy=106.41
Enviado: temp=17.0, hum=99.1, energy=293.84
Enviado: temp=17.8, hum=91.3, energy=180.87
Enviado: temp=19.0, hum=49.3, energy=222.76
Enviado: temp=17.2, hum=84.3, energy=284.71
Enviado: temp=20.8, hum=55.6, energy=275.48
Enviado: temp=22.8, hum=98.5, energy=122.03
Enviado: temp=24.8, hum=51.1, energy=139.92
Enviado: temp=21.7, hum=60.9, energy=210.52
Enviado: temp=18.4, hum=95.2, energy=197.34
Enviado: temp=15.3, hum=72.7, energy=237.54
Enviado: temp=24.8, hum=62.1, energy=190.73
Enviado: temp=20.7, hum=92.3, energy=125.47
Enviado: temp=19.3, hum=77.4, energy=112.43
Enviado: temp=18.5, hum=87.7, energy=125.21
Enviado: temp=24.3, hum=80.1, energy=143.97
Enviado: temp=18.7, hum=52.2, energy=238.25
Enviado: temp=23.3, hum=63.6, energy=137.61
Enviado: temp=22.0, hum=69.8, energy=198.48
Enviado: temp=20.9, hum=95.3, energy=221.65
Enviado: temp=17.8, hum=42.0, energy=257.55
Enviado: temp=18.0, hum=81.1, energy=196.54
Enviado: temp=21.5, hum=90.7, energy=116.86
Enviado: temp=16.9, hum=96.3, energy=157.86
Enviado: temp=18.4, hum=80.1, energy=132.81
Enviado: temp=23.2, hum=67.6, energy=289.11
Enviado: temp=18.9, hum=98.0, energy=256.04
Enviado: temp=23.6, hum=86.8, energy=119.31
Enviado: temp=17.8, hum=93.8, energy=232.92
Enviado: temp=20.7, hum=87.2, energy=296.04
Enviado: temp=15.4, hum=88.7, energy=108.83
Enviado: temp=19.5, hum=49.4, energy=251.84
Enviado: temp=21.0, hum=62.7, energy=219.85
Enviado: temp=22.7, hum=96.5, energy=132.29
Enviado: temp=15.2, hum=57.5, energy=295.80
Enviado: temp=19.9, hum=53.6, energy=226.46
Enviado: temp=24.1, hum=92.0, energy=156.44
Enviado: temp=22.0, hum=90.0, energy=108.55
Enviado: temp=23.6, hum=73.1, energy=103.42
Enviado: temp=16.4, hum=55.6, energy=277.86
Enviado: temp=24.6, hum=52.0, energy=260.53
Enviado: temp=17.6, hum=50.1, energy=242.02
Enviado: temp=15.8, hum=80.6, energy=242.88
Enviado: temp=20.9, hum=95.8, energy=280.90
Enviado: temp=16.8, hum=92.3, energy=160.86
Enviado: temp=24.8, hum=48.0, energy=159.34
Enviado: temp=17.1, hum=74.1, energy=236.76
Enviado: temp=21.0, hum=63.0, energy=215.22
Enviado: temp=24.0, hum=56.5, energy=174.87
Enviado: temp=23.5, hum=68.7, energy=259.01
Enviado: temp=16.7, hum=91.6, energy=280.97
Enviado: temp=22.1, hum=57.3, energy=278.01
Enviado: temp=24.9, hum=54.5, energy=222.08
Enviado: temp=22.3, hum=58.0, energy=272.60
Enviado: temp=17.0, hum=90.3, energy=138.98
Enviado: temp=24.1, hum=95.1, energy=278.65
Enviado: temp=24.3, hum=76.9, energy=274.31
Enviado: temp=18.8, hum=49.0, energy=266.19
Enviado: temp=24.5, hum=98.7, energy=156.06
Enviado: temp=16.2, hum=78.2, energy=287.89
Enviado: temp=22.8, hum=96.1, energy=251.85
Enviado: temp=22.7, hum=90.2, energy=267.36
Enviado: temp=18.5, hum=72.7, energy=128.98
Enviado: temp=16.5, hum=92.5, energy=247.56
Enviado: temp=21.1, hum=86.2, energy=240.66
Enviado: temp=15.0, hum=67.6, energy=182.82
Enviado: temp=23.3, hum=83.0, energy=136.09
Enviado: temp=21.7, hum=50.8, energy=119.52
Enviado: temp=22.7, hum=66.4, energy=255.88
Enviado: temp=23.1, hum=89.0, energy=114.14
Enviado: temp=21.7, hum=68.9, energy=134.35
Enviado: temp=17.0, hum=89.6, energy=222.07
Enviado: temp=19.3, hum=88.9, energy=191.18
Enviado: temp=21.5, hum=96.2, energy=116.79
Enviado: temp=16.3, hum=69.8, energy=181.95
Enviado: temp=23.5, hum=90.0, energy=219.55
Enviado: temp=20.3, hum=92.1, energy=179.18
Enviado: temp=18.9, hum=49.5, energy=190.45
Enviado: temp=24.0, hum=89.6, energy=137.50
Enviado: temp=24.0, hum=72.8, energy=292.92
Enviado: temp=24.0, hum=80.5, energy=299.94
Enviado: temp=16.2, hum=94.6, energy=179.30
Enviado: temp=20.9, hum=99.7, energy=105.42
Enviado: temp=17.0, hum=73.3, energy=248.00
Enviado: temp=21.5, hum=58.7, energy=105.09
Enviado: temp=24.1, hum=56.1, energy=266.80
Enviado: temp=22.6, hum=98.2, energy=283.23
Enviado: temp=21.4, hum=99.1, energy=292.00
Enviado: temp=15.0, hum=60.0, energy=196.14
Enviado: temp=15.8, hum=55.2, energy=185.11
Enviado: temp=24.8, hum=99.9, energy=263.85
